;p_uf;p_pu;p_up;p_fl;p_lu;Run;followers;leaders;pheromone;unassigned
9896;0.74755859375;0.19189453125;0.62255859375;0.40283203125;0.14501953125;9896;14;58;0;38
9897;0.74755859375;0.19189453125;0.53564453125;0.27685546875;0.14501953125;9897;0;0;0;110
9898;0.74755859375;0.19189453125;0.53564453125;0.40283203125;0.09521484375;9898;11;71;0;28
9899;0.74755859375;0.19189453125;0.53564453125;0.40283203125;0.14501953125;9899;18;58;0;34
9900;0.55126953125;0.60791015625;0.12255859375;0.77685546875;0.59521484375;9900;0;0;0;110
9901;0.24755859375;0.60791015625;0.12255859375;0.77685546875;0.59521484375;9901;0;0;0;110
9902;0.55126953125;0.69189453125;0.12255859375;0.77685546875;0.59521484375;9902;0;0;0;110
9903;0.55126953125;0.60791015625;0.03564453125;0.77685546875;0.59521484375;9903;0;0;0;110
9904;0.55126953125;0.60791015625;0.12255859375;0.90283203125;0.59521484375;9904;0;0;0;110
9905;0.55126953125;0.60791015625;0.12255859375;0.77685546875;0.64501953125;9905;0;0;0;110
9906;0.55126953125;0.69189453125;0.03564453125;0.90283203125;0.64501953125;9906;0;0;0;110
9907;0.24755859375;0.60791015625;0.03564453125;0.90283203125;0.64501953125;9907;0;0;0;110
9908;0.24755859375;0.69189453125;0.12255859375;0.90283203125;0.64501953125;9908;0;0;0;110
9909;0.24755859375;0.69189453125;0.03564453125;0.77685546875;0.64501953125;9909;0;0;0;110
9910;0.24755859375;0.69189453125;0.03564453125;0.90283203125;0.59521484375;9910;0;0;0;110
9911;0.24755859375;0.69189453125;0.03564453125;0.90283203125;0.64501953125;9911;0;0;0;110
9912;0.80126953125;0.35791015625;0.87255859375;0.02685546875;0.84521484375;9912;0;0;0;110
9913;0.49755859375;0.35791015625;0.87255859375;0.02685546875;0.84521484375;9913;0;0;0;110
9914;0.80126953125;0.44189453125;0.87255859375;0.02685546875;0.84521484375;9914;0;0;0;110
9915;0.80126953125;0.35791015625;0.28564453125;0.02685546875;0.84521484375;9915;0;0;0;110
9916;0.80126953125;0.35791015625;0.87255859375;0.65283203125;0.84521484375;9916;0;0;0;110
9917;0.80126953125;0.35791015625;0.87255859375;0.02685546875;0.89501953125;9917;0;0;0;110
9918;0.80126953125;0.44189453125;0.28564453125;0.65283203125;0.89501953125;9918;0;0;0;110
9919;0.49755859375;0.35791015625;0.28564453125;0.65283203125;0.89501953125;9919;0;0;0;110
9920;0.49755859375;0.44189453125;0.87255859375;0.65283203125;0.89501953125;9920;0;0;0;110
9921;0.49755859375;0.44189453125;0.28564453125;0.02685546875;0.89501953125;9921;0;0;0;110
9922;0.49755859375;0.44189453125;0.28564453125;0.65283203125;0.84521484375;9922;0;0;0;110
